what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600479758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600481583
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1337600481692
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1337600481786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600481989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600579708
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1337600582361
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1337600582377
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1337600582393
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1337600582393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600589116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600604701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337600606510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337600606963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337600607165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337600607321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337600607477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337600607618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337600607774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600635745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600649894
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1337600650175
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1337600650206
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1337600656695
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1337600656711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600657163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600672936
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337600672952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600675931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600683858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337600686432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337600686666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337600686822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337600686963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337600690285
